coin,date,market_cap,volume,open,close
Bitcoin,2022-07-12,"$382,000,290,322","$21,319,467,249","$19,998.47",N/A
Bitcoin,2022-07-11,"$398,249,545,889","$25,037,950,754","$20,860","$19,998.47"
Bitcoin,2022-07-10,"$412,459,838,738","$26,211,587,452","$21,590","$20,860"
Bitcoin,2022-07-09,"$417,690,286,505","$46,645,398,901","$21,859","$21,590"
Bitcoin,2022-07-08,"$414,055,638,574","$21,927,087,503","$21,661","$21,859"
Bitcoin,2022-07-07,"$392,479,833,071","$21,755,499,642","$20,567","$21,661"
Bitcoin,2022-07-06,"$385,301,783,066","$23,623,270,106","$20,189","$20,567"
Bitcoin,2022-07-05,"$386,425,176,263","$18,634,860,046","$20,257","$20,189"
Bitcoin,2022-07-04,"$368,549,364,135","$13,976,969,844","$19,310.23","$20,257"
Bitcoin,2022-07-03,"$367,706,689,138","$15,601,715,001","$19,268.23","$19,310.23"
Bitcoin,2022-07-02,"$370,916,529,919","$28,756,781,115","$19,407.45","$19,268.23"
Bitcoin,2022-07-01,"$365,984,224,323","$22,816,515,395","$19,608.40","$19,407.45"
Bitcoin,2022-06-30,"$384,067,866,466","$20,744,333,507","$20,109","$19,608.40"
Bitcoin,2022-06-29,"$386,606,940,573","$18,161,209,601","$20,283","$20,109"
Bitcoin,2022-06-28,"$395,914,576,106","$17,719,011,288","$20,751","$20,283"
Bitcoin,2022-06-27,"$401,645,800,330","$15,392,697,878","$21,053","$20,751"
Bitcoin,2022-06-26,"$410,110,791,491","$16,152,442,749","$21,526","$21,053"
Bitcoin,2022-06-25,"$407,086,114,490","$21,955,656,696","$21,263","$21,526"
Bitcoin,2022-06-24,"$402,495,826,231","$23,655,104,387","$21,100","$21,263"
Bitcoin,2022-06-23,"$381,616,262,301","$24,955,466,738","$19,983.57","$21,100"
Bitcoin,2022-06-22,"$395,059,669,321","$25,340,643,363","$20,701","$19,983.57"
Bitcoin,2022-06-21,"$392,793,374,516","$28,346,447,997","$20,637","$20,701"
Bitcoin,2022-06-20,"$390,555,374,757","$32,488,136,326","$20,516","$20,637"
Bitcoin,2022-06-19,"$362,303,884,192","$38,920,632,524","$19,047.42","$20,516"
Bitcoin,2022-06-18,"$391,441,740,414","$24,232,922,585","$20,473","$19,047.42"
Bitcoin,2022-06-17,"$389,181,727,346","$27,449,277,946","$20,409","$20,473"
Bitcoin,2022-06-16,"$429,887,916,885","$52,027,211,447","$22,529","$20,409"
Bitcoin,2022-06-15,"$423,044,474,597","$47,639,470,968","$22,245","$22,529"
Bitcoin,2022-06-14,"$429,492,202,561","$64,852,526,179","$22,526","$22,245"
Bitcoin,2022-06-13,"$514,202,090,511","$29,834,061,116","$26,767","$22,526"
Bitcoin,2022-06-12,"$540,789,214,974","$22,518,366,770","$28,374","$26,767"
Bitcoin,2022-06-11,"$554,622,874,799","$25,663,085,729","$29,101","$28,374"
Bitcoin,2022-06-10,"$573,819,802,895","$18,871,591,862","$30,101","$29,101"
Bitcoin,2022-06-09,"$576,238,781,341","$27,080,284,929","$30,229","$30,101"
Bitcoin,2022-06-08,"$597,205,650,753","$36,111,325,508","$31,265","$30,229"
Bitcoin,2022-06-07,"$597,966,736,177","$27,644,798,123","$31,373","$31,265"
Bitcoin,2022-06-06,"$570,209,935,092","$13,395,229,055","$29,918","$31,373"
Bitcoin,2022-06-05,"$568,340,135,127","$12,911,383,482","$29,872","$29,918"
Bitcoin,2022-06-04,"$566,275,595,800","$21,997,859,591","$29,714","$29,872"
Bitcoin,2022-06-03,"$580,863,150,152","$24,232,399,986","$30,481","$29,714"
Bitcoin,2022-06-02,"$569,001,624,438","$35,553,330,792","$29,833","$30,481"
Bitcoin,2022-06-01,"$607,393,396,319","$29,770,567,353","$31,866","$29,833"
Bitcoin,2022-05-31,"$604,926,607,441","$34,891,305,295","$31,741","$31,866"
Bitcoin,2022-05-30,"$561,771,345,709","$14,496,111,398","$29,493","$31,741"
Bitcoin,2022-05-29,"$554,938,694,217","$15,406,515,373","$29,088","$29,493"
Bitcoin,2022-05-28,"$545,752,899,522","$31,756,305,901","$28,647","$29,088"
Bitcoin,2022-05-27,"$559,066,076,344","$31,972,044,692","$29,347","$28,647"
Bitcoin,2022-05-26,"$563,577,022,958","$23,108,764,916","$29,585","$29,347"
Bitcoin,2022-05-25,"$564,885,248,022","$23,486,436,837","$29,655","$29,585"
Bitcoin,2022-05-24,"$555,459,414,424","$26,646,754,325","$29,163","$29,655"
Bitcoin,2022-05-23,"$578,090,387,085","$17,199,930,155","$30,351","$29,163"
Bitcoin,2022-05-22,"$561,696,351,559","$13,561,006,428","$29,492","$30,351"
Bitcoin,2022-05-21,"$557,201,657,281","$25,980,877,920","$29,257","$29,492"
Bitcoin,2022-05-20,"$578,678,245,848","$29,190,056,577","$30,382","$29,257"
Bitcoin,2022-05-19,"$547,927,169,401","$26,219,431,165","$28,772","$30,382"
Bitcoin,2022-05-18,"$581,272,773,176","$24,964,703,224","$30,502","$28,772"
Bitcoin,2022-05-17,"$569,801,943,005","$28,418,179,221","$29,924","$30,502"
Bitcoin,2022-05-16,"$596,346,266,889","$22,948,123,704","$31,319","$29,924"
Bitcoin,2022-05-15,"$573,777,699,744","$25,759,546,764","$30,189","$31,319"
Bitcoin,2022-05-14,"$558,053,182,541","$71,541,696,924","$29,311","$30,189"
Bitcoin,2022-05-13,"$555,266,177,877","$61,338,080,284","$29,126",N/A
Bitcoin,2022-05-12,"$549,294,001,873","$65,985,702,702","$28,913","$29,126"
Bitcoin,2022-05-11,"$590,644,412,747","$54,071,363,210","$31,027","$28,913"
Bitcoin,2022-05-10,"$576,197,842,488","$58,369,928,594","$30,270","$31,027"
Bitcoin,2022-05-09,"$648,514,321,642","$30,810,576,502","$34,070","$30,270"
Bitcoin,2022-05-08,"$678,702,448,511","$19,130,720,395","$35,573","$34,070"
Bitcoin,2022-05-07,"$687,093,350,325","$32,223,287,014","$36,116","$35,573"
Bitcoin,2022-05-06,"$696,020,943,882","$37,402,043,366","$36,612","$36,116"
Bitcoin,2022-05-05,"$755,764,276,889","$31,748,901,527","$39,699","$36,612"
Bitcoin,2022-05-04,"$718,542,028,696","$23,070,122,642","$37,758","$39,699"
Bitcoin,2022-05-03,"$733,787,526,678","$29,825,308,569","$38,562","$37,758"
Bitcoin,2022-05-02,"$733,294,957,353","$24,857,664,487","$38,538","$38,562"
Bitcoin,2022-05-01,"$719,611,115,951","$20,955,789,685","$37,821","$38,538"
Bitcoin,2022-04-30,"$735,829,877,666","$27,758,348,826","$38,651","$37,821"
Bitcoin,2022-04-29,"$756,090,806,421","$31,484,572,271","$39,742","$38,651"
Bitcoin,2022-04-28,"$746,473,028,158","$28,170,490,246","$39,238","$39,742"
Bitcoin,2022-04-27,"$725,434,540,422","$31,053,018,153","$38,134","$39,238"
Bitcoin,2022-04-26,"$770,112,436,973","$32,883,645,914","$40,489","$38,134"
Bitcoin,2022-04-25,"$752,446,283,900","$16,778,683,768","$39,469","$40,489"
Bitcoin,2022-04-24,"$752,414,150,959","$15,010,797,472","$39,562","$39,469"
Bitcoin,2022-04-23,"$756,144,456,298","$46,022,063,019","$39,757","$39,562"
Bitcoin,2022-04-22,"$770,787,243,370","$32,131,220,616","$40,529","$39,757"
Bitcoin,2022-04-21,"$787,437,397,454","$24,937,668,255","$41,397","$40,529"
Bitcoin,2022-04-20,"$789,141,783,336","$22,717,772,925","$41,498","$41,397"
Bitcoin,2022-04-19,"$776,463,403,746","$30,617,039,400","$40,834","$41,498"
Bitcoin,2022-04-18,"$755,627,152,747","$16,627,779,442","$39,739","$40,834"
Bitcoin,2022-04-17,"$770,439,827,829","$15,777,789,210","$40,450","$39,739"
Bitcoin,2022-04-16,"$771,666,602,548","$22,053,774,554","$40,587","$40,450"
